nome,id_entidade_parlametria,partido,uf,casa,governismo,governismo_ma,peso_politico,votos_favoraveis,votos_contra,votos_indef,votos_sim_nao,apoio
Euclydes Pettersen,1204482,PSC,MG,camara,3.9346620119412314,3.0847750660639868,0.110111,2,16,0,18,0.1111111111111111
Evair Vieira De Melo,1178871,PP,ES,camara,5.818829761993188,3.1557664022224614,0.0480196,2,4,0,6,0.3333333333333333
Expedito Netto,1178953,PSD,RO,camara,2.0027062491866694,0.3897600816548952,0.0491851,5,10,0,15,0.3333333333333333
Fábio Faria,1141428,PSD,RN,camara,5.045430215535674,3.275360245445869,NA,0,1,0,1,0
Fábio Henrique,168720,PDT,SE,camara,-0.4268032355501443,-3.071905369821513,0.0750596,7,0,14,7,1
Fábio Mitidieri,1178969,PSD,SE,camara,1.9091557185245982,-0.46305728667964097,0.297125,3,8,0,11,0.2727272727272727
Fábio Ramalho,1141427,MDB,MG,camara,3.5283330042265693,8.477273571483142,0.104,2,17,0,19,0.10526315789473684
Fabio Reis,1171623,MDB,SE,camara,3.401167084477466,1.209657047594261,0.0996311,3,19,0,22,0.13636363636363635
Fabio Schiochet,1204368,PSL,SC,camara,5.354423690563856,6.4148268627630785,0.00393573,1,11,0,12,0.08333333333333333
Fábio Trad,1160587,PSD,MS,camara,2.5902597184141474,0.9020517386744764,0.0688062,4,18,0,22,0.18181818181818182
Fausto Pinato,166828,PP,SP,camara,3.1299608869186066,0.7008375116747025,0.296859,2,8,0,10,0.2
Felício Laterça,1204477,PSL,RJ,camara,4.6388827132496875,2.643455505996897,0,2,15,0,17,0.11764705882352941
Felipe Carreras,172442,PSB,PE,camara,0.41913004601843795,-1.6363380967726542,0.0848929,6,4,11,10,0.6
Felipe Francischini,1204398,PSL,PR,camara,5.47556914655657,4.943185401708959,0.237082,2,17,0,19,0.10526315789473684
Felipe Rigoni,1204371,PSB,ES,camara,0.9186985765946751,-2.461091046447561,0.0178323,11,5,0,16,0.6875
Félix Mendonça Júnior,1160666,PDT,BA,camara,-0.45610337677755197,-0.36510758011460176,0.338845,0,2,2,2,0
Fernanda Melchionna,1204407,PSOL,RS,camara,-8.009863849173902,-8.433402615407408,0.11071,4,0,17,4,1
Fernando Coelho Filho,1141431,DEM,PE,camara,4.201223752175407,3.700243171658764,0.0971154,2,11,0,13,0.15384615384615385
Fernando Monteiro,192699,PP,PE,camara,3.987411489676031,1.4615279078573433,0.0687285,3,16,0,19,0.15789473684210525
Fernando Rodolfo,1204427,PL,PE,camara,3.11379808597726,1.023496679616997,0.0669408,1,12,0,13,0.07692307692307693
Filipe Barros,1204411,PSL,PR,camara,7.370583217495554,3.086778273734346,0.013946,2,18,0,20,0.1
Flávia Arruda,1204354,PL,DF,camara,4.226467449839289,5.072996812854294,0.0569156,1,19,0,20,0.05
Flávia Morais,1160598,PDT,GO,camara,-0.887575124354381,-1.3754782626480448,0.204217,1,0,10,1,1
Flaviano Melo,1141434,MDB,AC,camara,4.179939068182554,4.998078854606652,0.119389,2,16,0,18,0.1111111111111111
Flávio Nogueira,1191923,PDT,PI,camara,2.114890682665898,-0.8172982776952153,0.0965954,0,2,16,2,0
Flordelis,1204447,PSD,RJ,camara,4.781226366568845,2.651855580912832,0.0694591,2,12,0,14,0.14285714285714285
Francisco Jr.,1204392,PSD,GO,camara,4.808161835057419,-0.3983287854846207,0.0895967,1,0,0,1,1
Franco Cartafina,1204510,PP,MG,camara,3.6565071665593187,4.184444065691331,0.027892,2,19,0,21,0.09523809523809523
Fred Costa,1204494,PATRIOTA,MG,camara,3.407626781209366,-1.6084282254769455,0.420287,12,10,0,22,0.5454545454545454
Frei Anastacio Ribeiro,1204393,PT,PB,camara,-5.324072389385068,-7.923303111446417,0.0811021,0,0,17,0,NaN
Gastão Vieira,174200,PROS,MA,camara,2.1255960192148944,-2.036264736160832,0.131182,9,7,2,16,0.5625
Gelson Azevedo,1115746,PL,RJ,camara,5.788999670518869,4.266989723545224,0,3,19,0,22,0.13636363636363635
Genecias Noronha,1160669,SOLIDARIEDADE,CE,camara,3.6434132852304515,3.070164275086613,0.119959,2,9,0,11,0.18181818181818182
General Girão,1204473,PSL,RN,camara,6.824569179395141,3.2729269294157888,0.0101306,0,6,0,6,0
General Peternelli,1204484,PSL,SP,camara,5.712599412780612,6.539560613796198,0.0148448,2,17,0,19,0.10526315789473684
Geninho Zuliani,1204527,DEM,SP,camara,3.9870527406165763,4.286885753323171,0.109157,1,10,0,11,0.09090909090909091
Geovania De Sá,1178966,PSDB,SC,camara,3.6924988984471856,6.900018893969339,0.0938772,2,9,5,11,0.18181818181818182
Gervásio Maia,1204394,PSB,PB,camara,-2.639217224579557,-5.071932576973131,0.0992983,4,0,17,4,1
Giacobo,174383,PL,PR,camara,5.291135350696894,-0.007762008352941052,0.112463,3,11,0,14,0.21428571428571427
Gil Cutrim,1204575,PDT,MA,camara,2.8373130492695218,0.2656077329816,0.0486456,2,3,6,5,0.4
Gilberto Abramo,1204491,REPUBLICANOS,MG,camara,4.541649100047543,4.883978874676922,0.055784,3,17,0,20,0.15
Gilberto Nascimento,174270,PSC,SP,camara,3.4503024053745897,2.0773186978560503,0.38082,2,13,0,15,0.13333333333333333
Gilson Marques,1204365,NOVO,SC,camara,6.157005903642236,7.067796110825036,0.0273602,2,18,0,20,0.1
Giovani Cherini,1160673,PL,RS,camara,5.753344755192128,4.4135178356181335,0.125085,3,16,0,19,0.15789473684210525
Giovani Feltes,1178996,MDB,RS,camara,4.153436759119851,4.874307908549644,0.167943,2,18,0,20,0.1
Glauber Braga,1152605,PSOL,RJ,camara,-10,-10,0.15016,4,0,18,4,1
Glaustin Da Fokus,1204419,PSC,GO,camara,3.4346067991282307,2.4363614095096295,0.094816,2,16,0,18,0.1111111111111111
Gleisi Hoffmann,1107283,PT,PR,camara,-5.604659487888503,-9.453496286365368,0.0933379,1,0,0,1,1
Gonzaga Patriota,174419,PSB,PE,camara,-2.033899675909532,-5.438435581223703,0.12913,0,0,6,0,NaN
Greyce Elias,1198197,AVANTE,MG,camara,4.354932281073527,5.563817202465968,0.101972,3,17,0,20,0.15
Guiga Peixoto,1204513,PSL,SP,camara,6.4864114918784885,5.4650038166782196,0,2,21,0,23,0.08695652173913043
Guilherme Derrite,1204531,PP,SP,camara,6.262764145220331,5.356874345224007,0.0599624,3,19,0,22,0.13636363636363635
Guilherme Mussi,1160667,PP,SP,camara,5.8128791140568055,4.812858407543569,0.0856865,1,0,0,1,1
Gurgel,1204442,PSL,RJ,camara,5.062436029571293,3.6047461124672804,0.0207647,2,18,0,20,0.1
Gustavo Fruet,173460,PDT,PR,camara,-0.40901099411760633,-0.853789034133646,0.135008,0,3,3,3,0
Gustinho Ribeiro,1204408,SOLIDARIEDADE,SE,camara,3.954726585479463,6.351351398032584,0.11984,2,17,0,19,0.10526315789473684
Gutemberg Reis,1204456,MDB,RJ,camara,4.403418708391563,7.435710919107301,0.0350105,3,17,0,20,0.15
Haroldo Cathedral,1204465,PSD,RR,camara,4.303908783858839,3.400618398778869,0.00380988,3,19,1,22,0.13636363636363635
Heitor Freire,1204548,PSL,CE,camara,5.009085351473331,2.519122580309837,0.0352515,2,15,0,17,0.11764705882352941
Heitor Schuch,1178964,PSB,RS,camara,-2.0915378007306895,-5.163485085235787,0.113941,3,0,9,3,1
